sex,age,mrd,educ,cworker,region,race,earnings,height,weight,occupation
0:female,48,"1:Married, sps in hh",13,1:Private company,3:South,non-hispanic white,84054.75,65,133,1
0:female,41,6:Never Married,12,1:Private company,2:Midwest,non-hispanic white,14021.395,65,155,1
0:female,26,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic white,84054.75,60,108,1
0:female,37,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,67,150,1
0:female,35,6:Never Married,16,1:Private company,1:Northeast,non-hispanic white,28560.387,68,180,1
0:female,25,6:Never Married,15,1:Private company,4:West,non-hispanic white,23362.873,63,101,1
0:female,29,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,38925.336,67,150,1
0:female,44,3:Divorced,18,3:State Govt emp,4:West,non-hispanic white,84054.75,65,125,1
0:female,50,6:Never Married,14,2:Fed Govt emp,3:South,non-hispanic white,84054.75,67,129,1
0:female,38,"1:Married, sps in hh",12,4:Local Govt emp,3:South,non-hispanic white,84054.75,66,110,1
0:female,30,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,84054.75,65,110,1
0:female,29,3:Divorced,18,2:Fed Govt emp,3:South,non-hispanic white,38925.336,68,135,1
0:female,26,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic white,84054.75,65,123,1
0:female,50,"1:Married, sps in hh",12,1:Private company,1:Northeast,non-hispanic white,49430.109,63,132,1
0:female,65,3:Divorced,16,4:Local Govt emp,4:West,hispanic,16081.588,65,110,1
0:female,45,6:Never Married,17,2:Fed Govt emp,4:West,non-hispanic white,84054.75,71,202,1
0:female,26,6:Never Married,16,1:Private company,3:South,non-hispanic white,23362.873,66,130,1
0:female,57,3:Divorced,12,2:Fed Govt emp,3:South,non-hispanic white,44152.16,68,220,1
0:female,40,3:Divorced,16,1:Private company,4:West,non-hispanic white,84054.75,66,195,1
0:female,36,"1:Married, sps in hh",12,1:Private company,3:South,non-hispanic white,49430.109,68,135,1
0:female,60,"1:Married, sps in hh",15,4:Local Govt emp,3:South,non-hispanic white,84054.75,64,160,1
0:female,32,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,33712.969,65,115,1
0:female,33,"1:Married, sps in hh",12,1:Private company,1:Northeast,non-hispanic white,44152.16,61,125,1
0:female,27,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic white,84054.75,64,115,1
0:female,52,5:Separated,13,2:Fed Govt emp,2:Midwest,non-hispanic black,44152.16,60,170,1
0:female,36,"1:Married, sps in hh",12,4:Local Govt emp,4:West,non-hispanic white,84054.75,68,180,1
0:female,53,3:Divorced,18,4:Local Govt emp,2:Midwest,non-hispanic white,84054.75,65,128,1
0:female,29,6:Never Married,16,1:Private company,2:Midwest,non-hispanic white,28560.387,67,115,1
0:female,35,"1:Married, sps in hh",11,1:Private company,4:West,non-hispanic white,23362.873,66,140,1
0:female,46,"1:Married, sps in hh",18,4:Local Govt emp,4:West,non-hispanic white,84054.75,63,120,1
0:female,47,3:Divorced,10,1:Private company,3:South,non-hispanic white,6711.2876,64,124,1
0:female,34,3:Divorced,13,6:Self-employed,4:West,non-hispanic white,33712.969,64,170,1
0:female,34,3:Divorced,17,4:Local Govt emp,4:West,non-hispanic white,38925.336,66,110,1
0:female,57,3:Divorced,12,1:Private company,2:Midwest,non-hispanic white,23362.873,65,200,1
0:female,50,"1:Married, sps in hh",16,6:Self-employed,3:South,non-hispanic white,84054.75,66,140,1
0:female,41,"1:Married, sps in hh",15,1:Private company,4:West,non-hispanic white,84054.75,66,130,1
0:female,29,"1:Married, sps in hh",13,6:Self-employed,1:Northeast,non-hispanic white,23362.873,66,140,1
0:female,35,"2:Married, sps not in hh",11,1:Private company,2:Midwest,non-hispanic black,14021.395,64,160,1
0:female,58,"1:Married, sps in hh",11,1:Private company,1:Northeast,non-hispanic white,84054.75,66,136,1
0:female,29,"1:Married, sps in hh",15,1:Private company,2:Midwest,non-hispanic white,33712.969,62,115,1
0:female,42,"1:Married, sps in hh",8,4:Local Govt emp,3:South,hispanic,18168.842,62,150,1
0:female,34,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,44152.16,66,501,1
