year,ahe,bachelor,female,age
2012,19.23077,0,0,30
2012,17.548077,0,0,29
2012,8.5470085,0,0,27
2012,16.826923,0,1,25
2012,16.346153,1,1,27
2012,16.10577,1,0,30
2012,15.811966,0,0,31
2012,3.525641,1,0,29
2012,14.423077,0,0,29
2012,11.228847,0,0,33
2012,28.061224,0,0,27
2012,22.959183,0,1,28
2012,13.461538,0,0,30
2012,18.229166,0,0,31
2012,20,0,0,34
2012,35,0,0,32
2012,15.384615,0,0,26
2012,9.1346149,0,1,32
2012,17.307692,1,1,32
2012,14.423077,1,1,32
2012,19.23077,0,0,33
2012,6.7307692,0,0,26
2012,11.538462,0,0,33
2012,10.577885,0,1,34
2012,11.538462,0,0,25
2012,7.5,1,1,25
2012,10.989011,1,1,32
2012,14.903846,1,1,29
2012,21.73077,1,0,32
2012,15.625,0,0,33
2012,19.711538,0,0,31
2012,19.23077,1,1,33
2012,13.461538,0,0,31
2012,14.423077,1,1,28
2012,16.826923,0,0,26
2012,6.7307692,0,1,32
2012,11.538462,0,1,31
2012,16.346153,0,0,32
2012,17.307692,1,1,27
2012,21.634615,1,1,32
2012,14.14327,1,1,30
2012,16.826923,0,0,25
2012,11.538462,0,0,30
2012,7.5,0,1,25
2012,8.5470085,0,1,27
2012,8.4615383,0,0,28
2012,6.0096154,0,0,26
2012,15.384615,1,0,32
2012,13.75,1,1,31
2012,16.826923,0,0,29
2012,16.346153,1,0,31
2012,41.132477,1,1,30
2012,38.46154,1,1,31
2012,21.634615,1,0,28
2012,10.817307,1,0,28
2012,5.7823129,1,1,31
2012,13.942307,0,0,26
2012,6.5934067,0,0,30
2012,19.951923,1,0,32
2012,23.172905,1,0,25
2012,17.307692,1,1,30
2012,15.384615,1,1,27
2012,28.846153,1,0,34
2012,17.307692,1,0,28
2012,19.23077,0,0,28
2012,36.057693,1,0,26
2012,21.153847,1,1,30
2012,15.491453,1,1,34
2012,16.826923,0,1,25
2012,10.989011,0,1,27
2012,17.307692,1,1,29
2012,17.832169,1,0,34
2012,15.384615,1,1,32
2012,17.308655,0,0,28
2012,25.240385,1,1,32
2012,25.48077,1,0,30
2012,15.865385,1,0,30
2012,16.239317,1,1,30
2012,21.367521,1,1,33
2012,10.096154,0,1,30
2012,19.23077,1,1,26
2012,16.826923,0,0,26
2012,11.394231,0,0,32
2012,16.826923,0,0,27
2012,14.423077,0,0,33
2012,20.673077,0,0,33
2012,23.363094,0,0,34
2012,46.153847,1,0,33
2012,13.675214,1,0,30
2012,27.472527,0,0,33
2012,34.615383,1,0,30
2012,15.384615,0,0,30
2012,23.076923,1,1,26
2012,14.423077,1,0,31
2012,31.25,1,1,34
2012,9.1093121,0,1,28
2012,16.239317,0,0,29
2012,23.24,1,0,30
2012,43.26923,1,0,31
2012,38.46154,1,1,31
2012,11.538462,0,0,32
2012,11.538462,0,1,27
2012,7.9861112,0,0,25
2012,9.6153851,0,1,34
2012,14.423077,1,0,26
2012,26.923077,0,0,33
2012,22.115385,0,0,25
2012,9.0144234,0,0,32
2012,28.846153,0,0,30
2012,24.038462,1,0,31
2012,20.192308,1,1,31
2012,17.788462,1,1,26
2012,23.076923,0,0,32
2012,32.051281,1,1,26
2012,11.75,0,1,29
2012,10.096154,0,0,32
2012,17.884615,1,1,31
2012,12.637362,1,1,34
2012,18.315018,1,1,30
2012,19.23077,1,0,27
2012,15.384615,1,1,31
2012,26.223776,0,1,31
2012,28.011204,0,0,34
2012,13.461538,1,0,27
2012,19.23077,0,0,27
2012,22.115385,0,0,28
2012,22.988506,1,0,34
2012,34.615383,1,0,33
2012,22.596153,0,0,32
2012,13.333333,0,0,31
2012,14.424039,0,0,26
2012,32.051281,1,0,34
2012,13.461538,1,1,28
2012,27.472527,1,0,31
2012,9.1346149,0,1,33
2012,33.653847,1,0,27
2012,9.6153851,1,1,26
2012,21.153847,1,0,29
2012,24.038462,1,1,31
2012,26.442308,1,1,31
2012,16.923077,1,1,26
2012,51.923077,1,0,34
2012,28.365385,1,1,34
2012,21.634615,0,0,32
2012,19.23077,0,0,34
2012,14.957265,0,1,31
2012,12.019231,0,0,30
2012,44.378696,1,0,32
2012,25,1,0,28
2012,14.423077,0,0,27
2012,16.826923,1,1,26
2012,18.26923,1,0,30
2012,22.596153,1,0,26
2012,26.041666,0,0,34
2012,16.346153,1,0,34
2012,25.658974,1,0,34
2012,12.019231,1,1,34
2012,11.057693,0,0,33
2012,18.990385,0,0,30
2012,14.676113,1,1,27
2012,16.826923,1,1,28
2012,33.653847,1,0,28
2012,28.846153,1,1,30
2012,15.384615,0,0,29
2012,9.6163464,0,0,29
2012,34.616154,1,0,30
2012,20,0,0,32
2012,12.653846,0,0,31
2012,15.384615,1,0,27
2012,17.094017,0,0,32
2012,12.019231,0,1,29
2012,21.634615,1,1,30
2012,33.653847,1,0,27
2012,15.6,0,1,25
2012,15.384615,1,0,32
2012,16.346153,0,0,30
2012,16.666666,1,1,25
2012,35.784313,1,0,31
2012,13.49066,1,1,30
2012,20.242914,0,1,31
2012,38.034187,1,0,32
2012,44.923077,1,0,30
2012,14.423077,0,0,26
2012,16.153847,1,1,30
2012,26.153847,1,0,33
2012,17.307692,1,1,25
2012,17.788462,1,0,32
2012,64.903847,1,0,28
2012,19.23077,0,0,34
2012,16.826923,0,0,30
2012,19.711538,1,1,34
2012,19.23077,0,0,33
2012,10.576923,0,1,32
2012,26.442308,1,1,29
2012,35.042736,0,0,33
2012,6.0439563,0,1,27
2012,2.8846154,0,0,29
2012,17.788462,0,0,30
2012,30.76923,1,1,32
2012,14.423077,1,0,27
2012,16.02564,0,0,28
2012,14.423077,1,0,34
2012,14.423077,1,0,27
2012,14.685315,1,1,32
2012,8.09375,0,1,33
2012,9.1346149,1,1,30
2012,14.423077,0,0,31
2012,16.826923,0,1,34
2012,26.223776,1,0,32
2012,19.23077,0,1,29
2012,12.019231,0,1,25
2012,18.26923,0,0,27
2012,14.423077,0,1,25
2012,22.435898,1,1,26
2012,48.076923,1,0,28
2012,21.153847,1,0,28
2012,11.538462,1,1,27
2012,12.5,1,0,25
2012,35.096153,1,0,27
2012,10,0,1,25
2012,31.25,1,0,29
2012,17.308655,0,0,26
2012,31.538462,0,0,33
2012,16.258741,0,0,34
2012,13.942307,0,1,27
2012,40.76923,1,0,34
2012,43.26923,1,0,33
2012,48.076923,0,0,27
2012,41.561058,1,0,25
2012,12.877623,1,1,28
2012,15.384615,1,0,25
2012,22.596153,1,0,29
2012,9.6153851,0,1,30
2012,14.423077,0,0,28
2012,13.05,1,1,27
2012,12.019231,1,1,31
2012,8.2417583,0,0,28
2012,4.945055,0,1,32
2012,17.1875,1,0,26
2012,21.449703,0,0,34
2012,12.5,1,1,33
2012,17.258383,0,0,25
2012,25.274725,0,0,31
2012,15.384615,1,0,30
2012,55.76923,1,0,26
2012,52.884617,0,0,25
2012,5.7692308,0,0,27
